indexID,date,stockID,wgt
EI000905,2015/8/28,EQ300267,0.014470539
EI000905,2015/8/28,EQ300274,0.010518233
EI000905,2015/8/28,EQ600006,0.016472036
EI000905,2015/8/28,EQ600037,0.021811324
EI000905,2015/8/28,EQ600059,0.007258375
EI000905,2015/8/28,EQ600086,0.018453838
EI000905,2015/8/28,EQ600112,0.009423848
EI000905,2015/8/28,EQ600122,0.010471396
EI000905,2015/8/28,EQ600151,0.012821946
EI000905,2015/8/28,EQ600175,0.008259973
EI000905,2015/8/28,EQ600195,0.011434691
EI000905,2015/8/28,EQ600201,0.014515955
EI000905,2015/8/28,EQ600240,0.011792753
EI000905,2015/8/28,EQ600260,0.019138756
EI000905,2015/8/28,EQ600261,0.011342344
EI000905,2015/8/28,EQ600270,0.018352525
EI000905,2015/8/28,EQ600284,0.007885423
EI000905,2015/8/28,EQ600300,0.008187594
EI000905,2015/8/28,EQ600325,0.009505246
EI000905,2015/8/28,EQ600366,0.014965964
EI000905,2015/8/28,EQ600387,0.006810939
EI000905,2015/8/28,EQ600397,0.005627756
EI000905,2015/8/28,EQ600409,0.011767738
EI000905,2015/8/28,EQ600418,0.0097229
EI000905,2015/8/28,EQ600422,0.011454043
EI000905,2015/8/28,EQ600456,0.012232946
EI000905,2015/8/28,EQ600458,0.010724989
EI000905,2015/8/28,EQ600487,0.018810675
EI000905,2015/8/28,EQ600488,0.00858471
EI000905,2015/8/28,EQ600496,0.007467011
EI000905,2015/8/28,EQ600509,0.008447629
EI000905,2015/8/28,EQ600572,0.013856978
EI000905,2015/8/28,EQ600611,0.013201413
EI000905,2015/8/28,EQ600635,0.017638472
EI000905,2015/8/28,EQ600651,0.010142436
EI000905,2015/8/28,EQ600664,0.015845805
EI000905,2015/8/28,EQ600776,0.017587402
EI000905,2015/8/28,EQ600803,0.008015909
EI000905,2015/8/28,EQ600826,0.009660918
EI000905,2015/8/28,EQ600859,0.009578797
EI000905,2015/8/28,EQ600864,0.007627956
EI000905,2015/8/28,EQ600874,0.009351239
EI000905,2015/8/28,EQ600880,0.012336654
EI000905,2015/8/28,EQ600881,0.010264099
EI000905,2015/8/28,EQ600894,0.012660153
EI000905,2015/8/28,EQ601101,0.006621087
EI000905,2015/8/28,EQ601311,0.011253058
EI000905,2015/8/28,EQ601886,0.009036644
EI000905,2015/8/28,EQ601908,0.007132199
EI000905,2015/8/28,EQ601999,0.010692505
EI000905,2015/8/28,EQ603001,0.010711414
EI000905,2015/8/28,EQ603169,0.006447166
EI000905,2015/8/28,EQ603328,0.00496622
EI000905,2015/8/28,EQ603766,0.011456521
EI000905,2015/9/30,EQ000031,0.003759293
EI000905,2015/9/30,EQ000090,0.002278514
EI000905,2015/9/30,EQ000422,0.005307922
EI000905,2015/9/30,EQ000488,0.009262195
EI000905,2015/9/30,EQ000547,0.005268147
EI000905,2015/9/30,EQ000552,0.004530526
EI000905,2015/9/30,EQ000636,0.015532675
EI000905,2015/9/30,EQ000671,0.003126056
EI000905,2015/9/30,EQ000718,0.002871195
EI000905,2015/9/30,EQ000758,0.026446766
EI000905,2015/9/30,EQ000780,0.00624394
EI000905,2015/9/30,EQ000829,0.023398138
EI000905,2015/9/30,EQ000926,0.001888245
EI000905,2015/9/30,EQ000973,0.005024463
EI000905,2015/9/30,EQ000975,0.01786709
EI000905,2015/9/30,EQ002013,0.011292738
EI000905,2015/9/30,EQ002069,0.005319212
EI000905,2015/9/30,EQ002073,0.010547403
EI000905,2015/9/30,EQ002118,0.005216638
EI000905,2015/9/30,EQ002143,0.012119466
EI000905,2015/9/30,EQ002195,0.026400717
EI000905,2015/9/30,EQ002225,0.014725888
EI000905,2015/9/30,EQ002237,0.020274428
EI000905,2015/9/30,EQ002251,0.023392194
EI000905,2015/9/30,EQ002309,0.00851271
EI000905,2015/9/30,EQ002317,0.004224945
EI000905,2015/9/30,EQ002332,0.004307606
EI000905,2015/9/30,EQ002342,0.008109046
EI000905,2015/9/30,EQ002358,0.011022235
EI000905,2015/9/30,EQ002393,0.004526063
EI000905,2015/9/30,EQ002400,0.029610483
EI000905,2015/9/30,EQ002430,0.009344597
EI000905,2015/9/30,EQ002461,0.009265599
EI000905,2015/9/30,EQ002503,0.009259958
EI000905,2015/9/30,EQ002551,0.004261661
EI000905,2015/9/30,EQ002557,0.008822286
EI000905,2015/9/30,EQ002635,0.012731803
EI000905,2015/9/30,EQ002642,0.019028212
EI000905,2015/9/30,EQ002662,0.008380757
EI000905,2015/9/30,EQ300088,0.019242001
EI000905,2015/9/30,EQ300199,0.005573356
EI000905,2015/9/30,EQ600006,0.016995643
EI000905,2015/9/30,EQ600067,0.002608934
EI000905,2015/9/30,EQ600086,0.011484693
EI000905,2015/9/30,EQ600112,0.009449585
EI000905,2015/9/30,EQ600122,0.027678579
EI000905,2015/9/30,EQ600143,0.00945081
EI000905,2015/9/30,EQ600175,0.002101986
EI000905,2015/9/30,EQ600176,0.009570788
EI000905,2015/9/30,EQ600201,0.007193473
EI000905,2015/9/30,EQ600240,0.00315001
EI000905,2015/9/30,EQ600261,0.02093689
EI000905,2015/9/30,EQ600284,0.022461247
EI000905,2015/9/30,EQ600289,0.004186009
EI000905,2015/9/30,EQ600300,0.01024421
EI000905,2015/9/30,EQ600366,0.022548647
EI000905,2015/9/30,EQ600380,0.007338484
EI000905,2015/9/30,EQ600387,0.00506536
EI000905,2015/9/30,EQ600395,0.008935078
EI000905,2015/9/30,EQ600409,0.007824336
EI000905,2015/9/30,EQ600410,0.02704155
EI000905,2015/9/30,EQ600418,0.013845907
